Id,day_of_week,day_of_week_num,avg_sedentary_minutes,avg_sedentary_wear_only,total_days,nonwear_days
4057192912,Overall,8,1217.25,1143.0,4,1
4319703577,Monday,1,610.75,610.75,4,0
4319703577,Tuesday,2,783.4,619.25,5,1
4319703577,Wednesday,3,853.0,853.0,5,0
4319703577,Thursday,4,672.6,672.6,5,0
4319703577,Friday,5,694.25,694.25,4,0
4319703577,Saturday,6,637.75,637.75,4,0
4319703577,Sunday,7,873.5,873.5,4,0
4319703577,Overall,8,735.81,712.33,31,1
4388161847,Monday,1,1006.5,1006.5,4,0
4388161847,Tuesday,2,889.8,752.25,5,1
4388161847,Wednesday,3,829.0,829.0,5,0
4388161847,Thursday,4,879.4,879.4,5,0
4388161847,Friday,5,1014.25,1014.25,4,0
4388161847,Saturday,6,600.75,600.75,4,0
4388161847,Sunday,7,615.0,615.0,4,0
4388161847,Overall,8,836.68,816.57,31,1
4445114986,Monday,1,867.75,867.75,4,0
4445114986,Tuesday,2,805.8,805.8,5,0
4445114986,Wednesday,3,807.8,807.8,5,0
4445114986,Thursday,4,669.8,669.8,5,0
4445114986,Friday,5,833.0,833.0,4,0
4445114986,Saturday,6,904.5,904.5,4,0
4445114986,Sunday,7,972.25,972.25,4,0
4445114986,Overall,8,829.9,829.9,31,0
4558609924,Monday,1,1048.75,1048.75,4,0
4558609924,Tuesday,2,1145.8,1145.8,5,0
4558609924,Wednesday,3,1172.2,1172.2,5,0
4558609924,Thursday,4,954.8,954.8,5,0
4558609924,Friday,5,1146.75,1146.75,4,0
4558609924,Saturday,6,1115.25,1115.25,4,0
4558609924,Sunday,7,1073.75,1073.75,4,0
4558609924,Overall,8,1093.61,1093.61,31,0
4702921684,Monday,1,874.25,874.25,4,0
4702921684,Tuesday,2,734.0,734.0,5,0
4702921684,Wednesday,3,753.6,753.6,5,0
4702921684,Thursday,4,679.4,679.4,5,0
4702921684,Friday,5,914.75,914.75,4,0
4702921684,Saturday,6,582.5,582.5,4,0
4702921684,Sunday,7,859.5,666.0,4,1
4702921684,Overall,8,766.42,743.97,31,1
5553957443,Monday,1,686.25,686.25,4,0
5553957443,Tuesday,2,758.4,758.4,5,0
5553957443,Wednesday,3,653.8,653.8,5,0
5553957443,Thursday,4,627.0,627.0,5,0
5553957443,Friday,5,735.0,735.0,4,0
5553957443,Saturday,6,593.0,593.0,4,0
5553957443,Sunday,7,616.5,616.5,4,0
5553957443,Overall,8,668.35,668.35,31,0
5577150313,Monday,1,799.25,799.25,4,0
5577150313,Tuesday,2,687.8,687.8,5,0
5577150313,Wednesday,3,642.0,642.0,5,0
5577150313,Thursday,4,794.25,794.25,4,0
5577150313,Friday,5,890.25,890.25,4,0
5577150313,Saturday,6,790.0,573.33,4,1
5577150313,Sunday,7,722.25,483.0,4,1
5577150313,Overall,8,754.43,705.46,30,2
6117666160,Monday,1,882.0,696.0,4,1
6117666160,Tuesday,2,1095.5,751.0,4,2
6117666160,Wednesday,3,930.75,761.0,4,1
6117666160,Thursday,4,814.0,605.33,4,1
6117666160,Friday,5,621.5,621.5,4,0
6117666160,Saturday,6,616.5,616.5,4,0
6117666160,Sunday,7,613.75,613.75,4,0
6117666160,Overall,8,796.29,656.35,28,5
6290855005,Monday,1,1080.25,1080.25,4,0
6290855005,Tuesday,2,1288.0,1186.67,5,2
6290855005,Wednesday,3,1148.25,1148.25,4,0
6290855005,Thursday,4,1225.75,1154.33,4,1
6290855005,Friday,5,1206.25,1128.33,4,1
6290855005,Saturday,6,1229.5,1229.5,4,0
6290855005,Sunday,7,1149.5,1149.5,4,0
6290855005,Overall,8,1193.03,1153.52,29,4
6775888955,Monday,1,1325.0,1267.5,3,1
6775888955,Tuesday,2,1410.0,1380.0,4,2
6775888955,Wednesday,3,1253.0,1066.0,4,2
6775888955,Thursday,4,1288.25,1136.5,4,2
6775888955,Friday,5,1288.5,1238.0,4,1
6775888955,Saturday,6,1178.0,1090.67,4,1
6775888955,Sunday,7,1379.67,1379.67,3,0
6775888955,Overall,8,1299.42,1225.0,26,9
6962181067,Monday,1,647.0,647.0,4,0
6962181067,Tuesday,2,683.0,683.0,5,0
6962181067,Wednesday,3,655.2,655.2,5,0
6962181067,Thursday,4,581.8,581.8,5,0
6962181067,Friday,5,714.5,714.5,4,0
6962181067,Saturday,6,675.25,675.25,4,0
6962181067,Sunday,7,696.25,696.25,4,0
6962181067,Overall,8,662.32,662.32,31,0
7007744171,Monday,1,1058.33,1058.33,3,0
7007744171,Tuesday,2,1022.25,1022.25,4,0
7007744171,Wednesday,3,1145.5,1047.33,4,1
7007744171,Thursday,4,1049.75,1049.75,4,0
7007744171,Friday,5,1100.0,1100.0,4,0
7007744171,Saturday,6,924.0,924.0,4,0
7007744171,Sunday,7,1099.33,1099.33,3,0
7007744171,Overall,8,1055.35,1039.96,26,1
7086361926,Monday,1,830.5,830.5,4,0
7086361926,Tuesday,2,817.0,817.0,5,0
7086361926,Wednesday,3,794.0,794.0,5,0
7086361926,Thursday,4,790.2,790.2,5,0
7086361926,Friday,5,914.5,914.5,4,0
7086361926,Saturday,6,998.0,998.0,4,0
7086361926,Sunday,7,846.5,648.67,4,1
7086361926,Overall,8,850.45,830.8,31,1
8053475328,Monday,1,1200.0,1200.0,4,0
8053475328,Tuesday,2,1182.4,1182.4,5,0
8053475328,Wednesday,3,1093.6,1093.6,5,0
8053475328,Thursday,4,1104.4,1104.4,5,0
8053475328,Friday,5,1215.5,1215.5,4,0
8053475328,Saturday,6,1088.25,1088.25,4,0
8053475328,Sunday,7,1167.75,1167.75,4,0
8053475328,Overall,8,1148.0,1148.0,31,0
8253242879,Monday,1,1269.5,1269.5,2,0
8253242879,Tuesday,2,1273.0,1273.0,3,0
8253242879,Wednesday,3,1261.67,1261.67,3,0
8253242879,Thursday,4,1318.0,1318.0,3,0
8253242879,Friday,5,1304.0,1304.0,3,0
8253242879,Saturday,6,1300.33,1230.5,3,1
